"name","lat","lon","sector"
"Loyola University Chicago",41.999161,-87.657399,"Private"
"Lutheran School of Theology at Chicago",41.795064,-87.599577,"Private"
"Trinity College of Nursing  Health Sciences",41.48559,-90.57091,"Private"
"MacMurray College",39.730226,-90.22175,"Private"
"McCormick Theological Seminary",41.793514,-87.5961,"Private"
"McKendree University",38.609431,-89.814486,"Private"
"Meadville Lombard Theological School",41.87404,-87.624801,"Private"
"Methodist College",40.70017,-89.591277,"Private"
"Millikin University",39.842604,-88.974571,"Private"
"Monmouth College",40.91459,-90.637909,"Private"
"Moody Bible Institute",41.897822,-87.633459,"Private"
"National Louis University",41.879826,-87.624805,"Private"
"National University of Health Sciences",41.861919,-88.013153,"Private"
"North Central College",41.775304,-88.143649,"Private"
"North Park University",41.9751,-87.709142,"Private"
"Northern Baptist Theological Seminary",41.840512,-87.99844,"Private"
"Northern Illinois University",41.933791,-88.766065,"Public"
"Northwestern University",42.058377,-87.673653,"Private"
"Northeastern Illinois University",41.980567,-87.72013,"Public"
"Olivet Nazarene University",41.155489,-87.873654,"Private"
"Principia College",38.948929,-90.35007,"Private"
"Quincy University",39.939235,-91.387928,"Private"
"Robert Morris University Illinois",41.876278,-87.627068,"Private"
"Rockford University",42.270639,-89.019536,"Private"
"Roosevelt University",41.876055,-87.624952,"Private"
"Dominican University",41.902834,-87.821872,"Private"
"Rush University",41.874911,-87.667498,"Private"
"Saint Francis Medical Center College of Nursing",40.70028,-89.590993,"Private"
"University of St Francis",41.533341,-88.096368,"Private"
"St Johns CollegeDepartment of Nursing",39.807318,-89.645795,"Private"
"Saint Xavier University",41.707763,-87.713507,"Private"
"University of Illinois at Springfield",39.729862,-89.614917,"Public"
"Bexley Hall Seabury Western Theological Seminary Federation",41.98727,-87.845761,"Private"
"Shimer College",41.83217,-87.62713,"Private"
"Saint Augustine College",41.972414,-87.662806,"Private"
"University of Saint Mary of the Lake",42.281376,-88.00048,"Private"
"Spertus College",41.872741,-87.624634,"Private"
"Saint Anthony College of Nursing",42.263191,-89.108339,"Private"
"Southern Illinois UniversityCarbondale",37.713239,-89.218724,"Public"
"Southern Illinois UniversityEdwardsville",38.793949,-89.997779,"Public"
